Number,English,Spanish,French,German,Hindi
1158,Blenheim spaniel,Perro de aguas de Blenheim,Blenheim épagneul,Blenheim spaniel,ब्लेनहेम स्पैनियल
1159,papillon,Papillon,Papillon,papillon,पैपिलॉन
1160,toy terrier,terrier de juguete,terrier de jouet,toy terrier,खिलौना टेरियर
1161,Rhodesian ridgeback,rhodesian,Rhodesian Ridgeback,rhodesian,कुत्ते की एक नस्ल
1162,Afghan hound,galgo afgano,lévrier afghan,Afghane,अफगान शिकारी कुत्ता
1163,basset,afloramiento,basset,basset,Basset
1164,beagle,beagle,beagle,Beagle,गुप्तचर
1165,bloodhound,sabueso,limier,Bluthund,खोजी कुत्ता
1166,bluetick,bluetick,bluetick,Bluetick,bluetick
1167,black-and-tan coonhound,Coonhound negro y marrón,coonhound noir et tan,Schwarz-TANcoonhound,काले और भूरे कूनहाउंड
1168,Walker hound,perro Walker,chien Walker,Walker Hund,वाकर शिकारी कुत्ता
1169,English foxhound,foxhound Inglés,Foxhound,Englisch foxhound,अंग्रेजी एक प्रकार का विलायती
1170,redbone,redbone,redbone,redbone,redbone
1171,borzoi,borzoi,Barzoï,Barsoi,Borzoi
1172,Irish wolfhound,lobo irlandés,Irish Wolfhound,Irischer Wolfshund,आयरिश Wolfhound
1173,Italian greyhound,galgo italiano,lévrier italien,italienischer Windhund,इतालवी ग्रेहाउंड
1174,whippet,lebrel,whippet,whippet,साल की उम्र
1175,Ibizan hound,perro ibizan,chien ibizan,Ibizan Jagdhund,Ibizan शिकारी कुत्ता
1176,Norwegian elkhound,elkhound,elkhound norvégien,Norwegian elkhound,नार्वे Elkhound
1177,otterhound,Otterhound,Otterhound,Otter,ऊद का कुत्ता
1178,Saluki,Saluki,Sloughi,Saluki,Saluki
1179,Scottish deerhound,deerhound,Scottish Fold,deerhound,स्कॉटिश Deerhound
1180,Weimaraner,Weimaraner,Weimaraner,Weimaraner,Weimaraner
1181,Staffordshire bullterrier,Staffordshire Bull Terrier,Staffordshire Bullterrier,Staffordshire bull terrier,स्टैफोर्डशायर bullterrier
1182,American Staffordshire terrier,American Staffordshire Terrier,American staffordshire terrier,Amerikanischer Staffordshire Terrier,अमेरिकी स्टेफर्डशायर टेरियर
1183,Bedlington terrier,terrier de Bedlington,Bedlington terrier,Bedlington terrier,Bedlington टेरियर
1184,Border terrier,border terrier,Border Terrier,Border terrier,बॉर्डर टेरियर
1185,Kerry blue terrier,Kerry blue terrier,terrier bleu Kerry,Kerry Blue Terrier,केरी नीले टेरियर
1186,Irish terrier,Terrier irlandés,terrier irlandais,Irish terrier,आयरिश टेरियर
1187,Norfolk terrier,Terrier de Norfolk,Norfolk terrier,Norfolk terrier,Norfolk टेरियर
1188,Norwich terrier,terrier de Norwich,Norwich Terrier,Norwich terrier,नॉर्विच टेरियर
1189,Yorkshire terrier,Yorkshire terrier,Yorkshire Terrier,Yorkshire-Terrier,यॉर्कशायर टेरियर
1190,wire-haired fox terrier,fox terrier de pelo duro,fox à poil terrier,rauhaarige Foxterrier,तार बालों वाली लोमड़ी टेरियर
1191,Lakeland terrier,terrier de Lakeland,Lakeland terrier,Lakeland-terrier,लेकलैंड टेरियर
1192,Sealyham terrier,Sealyham,Sealyham terrier,Sealyham terrier,Sealyham टेरियर
1193,Airedale,Airedale,airedale,Airedale,Airedale
1194,cairn,mojón,cairn,Steinhügel,स्तूप
1195,Australian terrier,Terrier australiano,Australian terrier,Australian terrier,ऑस्ट्रेलियाई टेरियर
1196,Dandie Dinmont,Dandie Dinmont,Dandie Dinmont,Dandie Dinmont,Dandie Dinmont
1197,Boston bull,Boston Bull,taureau Boston,Boston Stier,बोस्टन बैल
1198,miniature schnauzer,Schnauzer miniatura,schnauzer miniature,schnauzer,लघु श्नौज़र
1199,giant schnauzer,Schnauzer gigante,schnauzer géant,Riesenschnauzer,विशाल श्नौज़र
1200,standard schnauzer,Schnauzer estándar,Schnauzer,schnauzer,मानक श्नौज़र
1201,Scotch terrier,terrier escocés,Scotch terrier,Scotch-terrier,स्कॉच टेरियर
1202,Tibetan terrier,terrier tibetano,terrier tibétain,Tibetan terrier,तिब्बती टेरियर
1203,silky terrier,Terrier sedoso,silky Terrier,silky terrier,रेशमी टेरियर
1204,soft-coated wheaten terrier,suave revestido de Terrier de trigo,doux enduit terrier wheaten,Soft-beschichtete Weizen Terrier,नरम लेपित Wheaten टेरियर
1205,West Highland white terrier,West Highland terrier blanco,West Highland terrier blanc,West Highland White Terrier,पश्चिम हाइलैंड सफेद टेरियर
1206,Lhasa,Lhasa,Lhasa,Lhasa,ल्हासा
1207,flat-coated retriever,Labrador Retriever,Flat-Coated retriever,Golden Retriever,फ्लैट लेपित कुत्ता
1208,curly-coated retriever,retriever rizado-revestido,bouclé enduit retriever,Curly-Coated Retriever,घुंघराले-लेपित रिट्रीवर
1209,golden retriever,golden retriever,Golden retriever,Golden Retriever,गोल्डन रिट्रीवर
1210,Labrador retriever,Labrador retriever,labrador,Labrador Retriever,लेब्राडोर कुत्ते
1211,Chesapeake Bay retriever,Chesapeake Bay Retriever,Chesapeake Bay chien d'arrêt,Chesapeake Bay Retriever,चेसापीक खाड़ी रिट्रीवर
1212,German short-haired pointer,puntero de pelo corto alemán,pointeur aux cheveux courts allemand,Deutsch Kurzhaar Zeiger,जर्मन छोटे बालों वाली सूचक
1213,vizsla,vizsla,Vizsla,vizsla,Vizsla
1214,English setter,setter Inglés,setter anglais,Englisch Setter,अंग्रेजी सेटर
1215,Irish setter,setter irlandés,setter irlandais,Irish Setter,आयरिश सेटर
1216,Gordon setter,setter gordon,setter,Gordon Setter,गॉर्डन सेटर
1217,Brittany spaniel,aguas de bretaña,épagneul,Brittany spaniel,ब्रिटनी स्पैनियल
1218,clumber,clumber,clumber,clumber,Clumber
1219,English springer,Springer Inglés,Anglais springer,Englisch springer,अंग्रेजी स्प्रिंगर
1220,Welsh springer spaniel,Springer spaniel,Welsh springer spaniel,Welsh Springer Spaniel,वेल्श स्प्रिंगर स्पैनियल
1221,cocker spaniel,Cocker,Cocker,Cocker Spaniel,कॉकर स्पेनियल
1222,Sussex spaniel,Perro de aguas de Sussex,Sussex Spaniel,sussexspaniel,ससेक्स स्पैनियल
1223,Irish water spaniel,aguas de agua irlandesa,barbet irlandaise,Irish Water Spaniel,आयरिश पानी स्पैनियल
1224,kuvasz,kuvasz,kuvasz,Kuvasz,Kuvasz
1225,schipperke,schipperke,schipperke,schipperke,schipperke
1226,groenendael,groenendael,Groenendael,groenendael,groenendael
1227,malinois,malinois,malinois,malinois,Malinois
1228,briard,briard,Briard,Briard,Briard
1229,kelpie,kelpie,Kelpie,kelpie,अश्वकार
1230,komondor,Komondor,komondor,komondor,Komondor
1231,Old English sheepdog,Antiguo perro pastor Inglés,Old English Sheepdog,Old English Sheepdog,पुरानी अंग्रेज़ी शीपडॉग
1232,Shetland sheepdog,perro pastor de Shetland,Shetland Sheepdog,Shetland Schäferhund,शेटलैंड शीपडॉग
1233,collie,collie,colley,Collie,कोल्ली
1234,Border collie,Border collie,Border collie,Border Collie,सीमा की कोल्ली
1235,Bouvier des Flandres,Bouvier de Flandes,Bouvier des Flandres,Bouvier des Flandres,बौवियर des Flandres
1236,Rottweiler,rottweiler,Rottweiler,Rottweiler,rottweiler
1237,German shepherd,Pastor alemán,Berger allemand,Deutsch Schäfer,जर्मन शेपर्ड
1238,Doberman,Caballero,Doberman,Doberman,Doberman
1239,miniature pinscher,pinscher miniatura,miniature pinscher,Zwergpinscher,लघु Pinscher
1240,Greater Swiss Mountain dog,mayor perro suizo de la montaña,chien Grand Swiss Mountain,Großer Schweizer Sennenhund,ग्रेटर स्विस माउंटेन कुत्ता
1241,Bernese mountain dog,Perro de montaña de Bernese,chien de montagne bernois,Berner Sennenhund,बर्नसे पहाड़ी कुत्ता
1242,Appenzeller,Appenzeller,Appenzeller,Appenzeller,Appenzeller
1243,EntleBucher,entlebucher,Entlebuch,Entlebucher,EntleBucher
1244,boxer,Boxer,boxeur,Boxer,बॉक्सर
1245,bull mastiff,mastín,mastiff de taureau,Bullmastiff,बैल मास्टिफ
1246,Tibetan mastiff,mastín tibetano,dogue du Tibet,Tibet-Dogge,तिब्बत का बड़े आकार वाला कुत्ता
1247,French bulldog,Bulldog francés,Bulldog français,Französische Bulldogge,फ़्रेंच बुलडॉग
1248,Great Dane,Gran Danés,Grand danois,Deutsche Dogge,बहुत अछा किया
1249,Saint Bernard,San Bernardo,Saint-Bernard,St. Bernhard,सेंट बर्नार्ड
1250,Eskimo dog,perro esquimal,chien esquimau,Eskimo Hund,एस्किमो का कुत्ता
1251,malamute,malamute,malamute,mala,malamute
1252,Siberian husky,Husky siberiano,Husky sibérien,Sibirischer Husky,साइबेरियाई कर्कश
1253,dalmatian,dálmata,dalmatien,Dalmatiner,डैलमेशियन
1254,affenpinscher,affenpinscher,affenpinscher,Pinscher,Affenpinscher
1255,basenji,basenji,basenji,basenji,Basenji
1256,pug,doguillo,carlin,Mops,बंदर
1257,Leonberg,leonberg,Leonberg,Leonberg,Leonberg
1258,Newfoundland,Terranova,Terre-Neuve,Neufundland,न्यूफ़ाउन्डलंड
1259,Great Pyrenees,Los grandes Pirineos,Mâtin des Pyrénées,Große Pyrenäen,महान Pyrenees
1260,Samoyed,samoyedo,samoyède,Samojeden,Samoyed
1261,Pomeranian,pomeranio,poméranien,Spitz,Pomeranian
1262,chow,perro chino,bouffe,Futter,चौ
1263,keeshond,keeshond,keeshond,keeshond,Keeshond
1264,Brabancon griffon,leonado brabancon,Brabancon griffon,Brabancon griffon,Brabancon Griffon
1265,Pembroke,Pembroke,Pembroke,Pembroke,पेमब्रोक
1266,Cardigan,Cárdigan,Cardigan,Strickjacke,कार्डिगन
1267,toy poodle,poodle de juguete,caniche toy,Zwergpudel,खिलौने वाला पिल्ला
1268,miniature poodle,caniche miniatura,caniche miniature,Zwergpudel,लघु poodle
1269,standard poodle,caniche,caniche standard,Standard Pudel,मानक poodle
1270,Mexican hairless,sin pelo mexicano,sans poils du Mexique,mexikanischer Nackt,मैक्सिकन गंजा
1271,timber wolf,Lobo de madera,loup de,Holz Wolf,लकड़ी भेड़िया
1272,white wolf,Lobo blanco,Loup blanc,weißer Wolf,सफेद भेड़िया
1273,red wolf,Lobo rojo,Loup rouge,roter Wolf,लाल भेड़िया
1274,coyote,coyote,coyote,Kojote,कोयोट
1275,dingo,dingo,dingo,Dingo,कुत्ते का एक प्राकर
1276,dhole,dhole,dhole,dhole,ढोले
1277,African hunting dog,perro de caza africano,lycaon,Afrikanischer Jagdhund,अफ्रीकी शिकारी कुत्ते
1278,hyena,hiena,hyène,Hyäne,लकड़बग्धा
1279,red fox,zorro rojo,Renard rouge,roter Fuchs,रेड फॉक्स
1280,kit fox,zorro kit,fox kit,Kitfuchs,किट लोमड़ी
1281,Arctic fox,zorro ártico,le renard arctique,Polarfuchs,आर्कटिक लोमड़ी
1282,grey fox,zorro gris,renard gris,grauer Fuchs,ग्रे लोमड़ी
1283,tabby,atigrado,tigré,tabby,बद गप्पी
1284,tiger cat,gato tigre,chat tigre,Tiger Katze,बाघ बिल्ली
1285,Persian cat,gato persa,chat persan,Persische Katze,फारसी बिल्ली
1286,Siamese cat,gato siames,chat siamois,Siamesische Katze,सियामेस कैट
1287,Egyptian cat,gato egipcio,chat égyptien,ägyptische Katze,मिस्र के बिल्ली
1288,cougar,Puma,puma,Puma,कौगर
1289,lynx,lince,Lynx,Luchs,बनबिलाव
1290,leopard,leopardo,léopard,Leopard,तेंदुए
1291,snow leopard,leopardo de nieve,léopard des neiges,Schneeleopard,हिम तेंदुआ
1292,jaguar,jaguar,jaguar,Jaguar,एक प्रकार का जानवर
1293,lion,león,Lion,Löwe,सिंह
1294,tiger,Tigre,tigre,Tiger,बाघ
1295,cheetah,leopardo,guépard,Gepard,चीता
1296,brown bear,oso café,ours brun,Braunbär,भूरा भालू
1297,American black bear,oso negro americano,ours noir,Amerikanischer Schwarzbär,अमेरिकी काले भालू
1298,ice bear,oso de hielo,ours polaire,Eisbär,बर्फीला भालू
1299,sloth bear,oso perezoso,ours paresseux,Lippenbär,आलसी भालू
1300,mongoose,mangosta,mangouste,Mungo,नेवला
1301,meerkat,Meerkat,Meerkat,Erdmännchen,Meerkat
1302,tiger beetle,escarabajo tigre,cicindelinae,Tigerkäfer,बाघ बीटल
1303,ladybug,mariquita,coccinelle,Marienkäfer,एक प्रकार का गुबरैला
1304,ground beetle,escarabajo de tierra,carabes,Laufkäferart,जमीन बीटल
1305,long-horned beetle,escarabajo de cuernos largos,longicorne,lang-gehörnter Käfer,लंबे समय से सींग वाले बीटल
1306,leaf beetle,escarabajo de la hoja,chrysomelidae,Blattkäfer,पत्ता बीटल
1307,dung beetle,escarabajo,bousier,Mistkäfer,डंग बीटल
1308,rhinoceros beetle,Escarabajo rinoceronte,scarabée rhinocéros,Nashornkäfer,गैंडे जैसा दिखने वाला गुबरैला
1309,weevil,gorgojo,charançon,Rüsselkäfer,घुन
1310,fly,volar,mouche,Fliege,उड़ना
1311,bee,abeja,abeille,Biene,मधुमक्खी
1312,ant,hormiga,fourmi,Ameise,चींटी
1313,grasshopper,saltamontes,sauterelle,Heuschrecke,टिड्डी
1314,cricket,Grillo,criquet,Kricket,क्रिकेट
1315,walking stick,bastón,bâton de marche,Gehstock,छड़ी
1316,cockroach,cucaracha,cafard,Kakerlake,तिलचट्टा
1317,mantis,mantis,mante,Gottesanbeterin,एक प्रकार का कीड़ा
1318,cicada,cigarra,cigale,Zikade,सिकाडा
1319,leafhopper,saltahojas,cicadelle,leafhopper,leafhopper
1320,lacewing,lacewing,chrysope,Florfliege,lacewing
1321,dragonfly,libélula,libellule,Libelle,ड्रैगनफ्लाई
1322,damselfly,caballito del diablo,damselfly,damselfly,damselfly
1323,admiral,almirante,amiral,Admiral,एडमिरल
1324,ringlet,rizo,anglaise,Ringel,बालों की लट
1325,monarch,monarca,monarque,Monarch,सम्राट
1326,cabbage butterfly,mariposa de la col,papillon chou,Kohl Schmetterling,गोभी की तितली
1327,sulphur butterfly,mariposa de azufre,papillon de soufre,Schwefel Schmetterling,सल्फर तितली
1328,lycaenid,lycaenid,lycaenid,lycaenid,lycaenid
1329,starfish,estrella de mar,étoile de mer,Seestern,एक प्रकार की मछली जिस को पाँच - सात बाहु के सदृश अंग होते है
1330,sea urchin,erizo de mar,oursin,Seeigel,समुद्री अर्चिन
1331,sea cucumber,pepino de mar,concombre de mer,Seegurke,समुद्र खीर
1332,wood rabbit,conejo de madera,lapin bois,Holz rabbit,लकड़ी खरगोश
1333,hare,liebre,lièvre,Hase,खरगोश
1334,Angora,Angora,Angora,Angora,अंगोरा
1335,hamster,hámster,hamster,Hamster,हम्सटर
1336,porcupine,puerco espín,porc-épic,Stachelschwein,साही
1337,fox squirrel,zorro ardilla,écureuil renard,"Fuchs, Eichhörnchen",लोमड़ी गिलहरी
1338,marmot,marmota,marmotte,Murmeltier,मर्मोट
1339,beaver,castor,castor,Biber,ऊदबिलाव
1340,guinea pig,conejillo de indias,Cochon d'Inde,Meerschweinchen,गिनी पिग
1341,sorrel,Alazán,oseille,Sauerampfer,सोरेल
1342,zebra,cebra,zèbre,Zebra,ज़ेबरा
1343,hog,cerdo,porc,Schwein,सूअर
1344,wild boar,Jabalí,sanglier,Wildschwein,जंगली सूअर
1345,warthog,jabalí,phacochère,Warzenschwein,warthog
1346,hippopotamus,hipopótamo,hippopotame,Nilpferd,जलहस्ती
1347,ox,buey,bœuf,Ochse,बैल
1348,water buffalo,búfalo de agua,buffles d'eau,Wasserbüffel,जल भैंस
1349,bison,bisonte,bison,Bison,बिजोन
1350,ram,RAM,RAM,RAM,राम
1351,bighorn,cuerno grande,Grosse corne,großes Horn,बड़ा हॉर्न
1352,ibex,cabra montés,ibex,Steinbock,औबेक्स
1353,hartebeest,hartebeest,bubales,Kuhantilopen,hartebeest
1354,impala,impala,impala,Impala,इम्पाला
1355,gazelle,gacela,gazelle,Gazelle,छोटा सुन्दर बारहसिंघ
1356,Arabian camel,camello árabe,chameau arabe,Arabian Kamel,अरब ऊंट
1357,llama,llama,lama,Lama,लामा
1358,weasel,comadreja,belette,Wiesel,चालक आदमी
1359,mink,visón,vison,Nerz,मिंक
1360,polecat,turón,putois,Iltis,एक प्रकार की बिल्ली
1361,black-footed ferret,hurón de patas negro,putois,schwarz-footed Frettchen,काले टांगों भाल
1362,otter,nutria,loutre,Otter,ऊद
1363,skunk,zorrillo,moufette,Skunk,बदमाश
1364,badger,tejón,blaireau,Dachs,बिज्जू
1365,armadillo,armadillo,tatou,Gürteltier,वर्मी
1366,three-toed sloth,perezoso de tres dedos,tridactyle fainéantise,Dreifinger-Faultier,तीन अंगूठों वाला स्लॉथ
1367,orangutan,orangután,orangs-outans,Orang-Utan,आरंगुटान
1368,gorilla,gorila,gorille,Gorilla,गोरिल्ला
1369,chimpanzee,chimpancé,chimpanzé,Schimpanse,चिंपांज़ी
1370,gibbon,gibón,gibbon,Gibbon,लंगूर
1371,siamang,siamang,siamang,siamang,siamang
1372,guenon,guenon,guenon,guenon,guenon
1373,patas,Patas,patas,patas,patas
1374,baboon,babuino,babouin,Pavian,लंगूर
1375,macaque,macaco,macaque,Makaken,अफ्रीका का लंगूर
1376,langur,langur,langur,Languren,लंगूर
1377,colobus,colobos,colobe,Colobus,कोलोबस
1378,proboscis monkey,mono narigudo,Singe proboscis,Nasenaffe,सूंड़ वाला बंदर
1379,marmoset,tití,ouistiti,Pinseläffchen,एक प्रकार का बंदर
1380,capuchin,capucho,capucin,Kapuziner,कैप्युषीन
1381,howler monkey,mono aullador,singe hurleur,Brüllaffe,हाउलर मंकी
1382,titi,titi,titi,titi,कॉक
1383,spider monkey,mono araña,singe araignée,Spinnenaffe,मकड़ीनुमा बन्दर
1384,squirrel monkey,mono ardilla,écureuil singe,Totenkopfäffchen,गिलहरी बंदर
1385,Madagascar cat,gato Madagascar,cat Madagascar,Madagaskar Katze,मेडागास्कर बिल्ली
1386,indri,indri,Indri,indri,इन्द्री
1387,Indian elephant,elefante indio,éléphant indien,Indischer Elefant,भारतीय हाथी
1388,African elephant,elefante africano,éléphant d'Afrique,Afrikanischer Elefant,अफ्रीकी हाथी
1389,lesser panda,panda menor,petit panda,kleiner Panda,कम पांडा
1390,giant panda,Panda gigante,Panda géant,Riesenpanda,विशालकाय पांडा
1391,barracouta,barracouta,barracouta,Barracouta,barracouta
1392,eel,Anguila,anguille,Aal,बाम मछली
1393,coho,coho,coho,coho,coho
1394,rock beauty,la belleza de roca,beauté rock,Rock Schönheit,रॉक सौंदर्य
1395,anemone fish,peces de anémona,poissons anémone,Anemonenfisch,रत्नज्योति मछली
1396,sturgeon,esturión,esturgeon,Stör,स्टर्जन
1397,gar,gar,GAR,gar,gar
1398,lionfish,pez león,lionfish,Rotfeuerfische,lionfish
1399,puffer,fumador,poisson-globe,puffer,पफर
1400,abacus,ábaco,abaque,Abakus,अबेकस
1401,abaya,abaya,abaya,abaya,ऍबया
1402,academic gown,vestido académico,toge,akademisches Kleid,शैक्षणिक गाउन
1403,accordion,acordeón,accordéon,Akkordeon,अकॉर्डियन
1404,acoustic guitar,guitarra acustica,guitare acoustique,akustische Gitarre,ध्वनिक गिटार
1405,aircraft carrier,portaaviones,porte-avions,Flugzeugträger,विमान वाहक
1406,airliner,avión de línea,avion de ligne,Verkehrsflugzeug,विमान
1407,airship,dirigible,ballon dirigeable,Luftschiff,हवाई पोत
1408,altar,altar,autel,Altar,वेदी
1409,ambulance,ambulancia,ambulance,Krankenwagen,रोगी वाहन
1410,amphibian,anfibio,amphibie,Amphibie,उभयचर
1411,analog clock,reloj analogo,horloge analogique,Analoge Uhr,अनुरूप घड़ी
1412,apiary,colmenar,rucher,Bienenhaus,मधमक्खियों के पालने का स्थान
1413,apron,delantal,tablier,Schürze,तहबंद
1414,ashcan,cubo de la basura,ashcan,Mülltonne,ashcan
1415,assault rifle,fusil de asalto,fusil d'assaut,Sturmgewehr,राइफल से हमला
1416,backpack,mochila,sac à dos,Rucksack,बैग
1417,bakery,panadería,boulangerie,Bäckerei,बेकरी
1418,balance beam,barra de equilibrio,poutre d'équilibre,Schwebebalken,बैलेंस बीम
1419,balloon,globo,ballon,Ballon,गुब्बारा
1420,ballpoint,bolígrafo,à bille,Kugelschreiber,बॉल प्वाइंट
1421,Band Aid,Apósito adhesivo,Pansement,Pflaster,बैंड एड
1422,banjo,banjo,banjo,Banjo,बैंजो
1423,bannister,Bannister,rampe,bannister,बैनिस्टर
1424,barbell,barra con pesas,haltère,Hantel,लोहे का दंड
1425,barber chair,silla de barbero,chaise de coiffeur,Frisörstuhl,नाई की कुर्सी
1426,barbershop,barbería,salon de coiffure,Friseur,नाई की दूकान
1427,barn,granero,Grange,Scheune,खलिहान है
1428,barometer,barómetro,baromètre,Barometer,बैरोमीटर
1429,barrel,barril,baril,Fass,बैरल
1430,barrow,carretilla,brouette,Karren,ठेला
1431,baseball,béisbol,base-ball,Baseball,बेसबॉल
1432,basketball,baloncesto,basketball,Basketball,बास्केटबाल
1433,bassinet,moisés,berceau,Korbwiege,बच्चों की गाड़ी
1434,bassoon,fagot,basson,Fagott,अलगोजा
1435,bathing cap,gorro de baño,Bonnet de bain,Bademütze,नहाने की टोपी
1436,bath towel,toalla de baño,serviette de bain,Badetuch,नहाने का तौलिया
1437,bathtub,bañera,baignoire,Badewanne,बाथटब
1438,beach wagon,carro de playa,plage wagon,Strand Wagen,समुद्र तट वैगन
1439,beacon,Faro,balise,Leuchtfeuer,प्रकाश
1440,beaker,cubilete,gobelet,Becherglas,बीकर
1441,bearskin,piel de oso,bonnet à poil,Bärenfellmütze,भालू का चमड़ा
1442,beer bottle,botella de cerveza,bouteille de bière,Bierflasche,बीयर की बोतल
1443,beer glass,vaso de cerveza,verre de bière,Bierglas,बियर गिलास
1444,bell cote,campana cote,cloche cote,Glocke Cote,घंटी कोटे
1445,bib,babero,bavoir,Lätzchen,अकसर पीना
1446,bicycle-built-for-two,bicicleta construyó-para-dos,bicyclette construite à des fins de deux,Fahrrad-integrierte for-two,साइकिल से बनाया के लिए दो
1447,bikini,bikini,bikini,Bikini,बिकिनी
1448,binder,aglutinante,liant,Bindemittel,जिल्दसाज़
1449,binoculars,prismáticos,jumelles,Fernglas,दूरबीन
1450,birdhouse,pajarera,nichoir,Voliere,चिड़िया घर
1451,boathouse,cobertizo,hangar à bateaux,Bootshaus,boathouse
1452,bobsled,bobsleigh,bobsleigh,Bob-,बोबस्लेय
1453,bolo tie,corbata de bolo,bolo,Bolotie,bolo टाई
1454,bonnet,capó,bonnet,Motorhaube,ढक्कन
1455,bookcase,estantería,bibliothèque,Bücherregal,किताबों की अलमारी
1456,bookshop,librería,librairie,Buchgeschäft,किताबों का दुकान
1457,bottlecap,bottlecap,bouchon de la bouteille,Flaschenverschluss,बोतल का ढक्कन
1458,bow,inclinarse,arc,Bogen,माथा टेकना
1459,bow tie,corbata de moño,nœud papillon,Krawatte,बो टाई
1460,brass,latón,laiton,Messing-,पीतल
1461,brassiere,sostén,soutien-gorge,Büstenhalter,चोली
1462,breakwater,rompeolas,digue,Wellenbrecher,बांध
1463,breastplate,coraza,pectoral,Brustplatte,छाती
1464,broom,Escoba,balais,Besen,झाड़ू
1465,bucket,Cubeta,baquet,Eimer,बाल्टी
1466,buckle,hebilla,Boucle,Schnalle,बकसुआ
1467,bulletproof vest,chaleco antibalas,gilet pare-balles,kugelsichere Weste,बुलेटप्रूफ जैकेट
1468,bullet train,tren bala,train à grande vitesse,Schnellzug,बुलेट ट्रेन
1469,butcher shop,carnicería,boucherie,Metzgerei,कसाई की दुकान
1470,cab,taxi,taxi,Taxi,टैक्सी
1471,caldron,hechicera,chaudron,Kessel,देग़
1472,candle,vela,bougie,Kerze,मोमबत्ती
1473,cannon,cañón,canon,Kanone,तोप
1474,canoe,canoa,canoë,Kanu,डोंगी
1475,can opener,abrelatas,ouvre-boîte,Dosenöffner,कैन खोलने वाला
1476,cardigan,cárdigan,cardigan,Strickjacke,कार्डिगन
1477,car mirror,espejo de coche,miroir de voiture,Autospiegel,कार दर्पण
1478,carousel,carrusel,carrousel,Karussell,हिंडोला
1479,carpenter's kit,kit de carpintero,Le kit de charpentier,Tischler Kit,बढ़ई का किट
1480,carton,caja de cartón,carton,Karton,दफ़्ती
1481,car wheel,Llanta de carro,roue de voiture,Autoreifen,कार का चक्का
1482,cash machine,cajero automático,distributeur de billets,Geldmaschine,नकदी मशीन
1483,cassette,casete,cassette,Kassette,कैसेट
1484,cassette player,reproductor de casetes,lecteur de cassettes,Kassettenspieler,कैसेट प्लेयर
1485,castle,castillo,Château,Schloss,कैसल
1486,catamaran,catamarán,catamaran,Katamaran,कटमरैन
1487,CD player,reproductor de CD,lecteur CD,CD-Player,सीडी प्लेयर
1488,cello,violonchelo,violoncelle,Cello,वायलनचेलो
1489,cellular telephone,telefono celular,téléphone portable,Mobiltelefon,सेलुलर टेलीफोन
1490,chain,cadena,chaîne,Kette,जंजीर
1491,chainlink fence,cerca de alambre,grillage,Maschendrahtzaun,ज़ंजीर से बंधी बाड़
1492,chain mail,cota de malla,mail chaîne,Kettenhemd,श्रृंखला मेल
1493,chain saw,sierra de cadena,tronçonneuse,Motorsäge,श्रृंखला देखा
1494,chest,pecho,coffre,Truhe,छाती
1495,chiffonier,chiffonnier,chiffonnier,chiffonier,षिटनीयर
1496,chime,repicar,carillon,Glockenspiel,झंकार
1497,china cabinet,gabinete de China,vaisselier,Geschirrschrank,चीनी अलमारी
1498,Christmas stocking,calcetín navideño,bas de Noël,Weihnachtsstrumpf,क्रिसमस मोजा
1499,church,Iglesia,église,Kirche,चर्च
1500,cinema,cine,cinéma,Kino,सिनेमा
1501,cleaver,cuchilla de carnicero,couperet,Beil,क्लीवर
1502,cliff dwelling,vivienda de acantilado,habitation falaise,Klippenwohnung,चट्टान आवास
1503,cloak,capa,manteau,Mantel,लबादा
1504,clog,obstruir,sabot,verstopfen,रोकना
1505,cocktail shaker,batidor de coctéles,shaker,Cocktail-Shaker,कॉकटेल शेकर
1506,coffee mug,taza de café,tasse de café,Kaffeebecher,कहवा प्याला
1507,coffeepot,cafetera,coffeepot,Kaffeetasse,कॉफी का बर्तन
1508,coil,bobina,bobine,Spule,तार
1509,combination lock,cerradura de combinación,Serrure à combinaison,Kombinationsschloss,संयोजन ताला
1510,computer keyboard,teclado,clavier d'ordinateur,Computer Tastatur,कंप्यूटर कीबोर्ड
1511,confectionery,confitería,confiserie,Süßwaren,हलवाई की दुकान
1512,container ship,barco mercante,porte-conteneurs,Containerschiff,कंटेनर जहाज
1513,convertible,convertible,convertible,umwandelbar,परिवर्तनीय
1514,corkscrew,sacacorchos,un tire-bouchon,Korkenzieher,पेंचकश
1515,cornet,cucurucho,cornet,Kornett,कॉर्नेट
1516,cowboy boot,bota de vaquero,santiag,Cowboy-Stiefel,चरवाहे बूट
1517,cowboy hat,sombrero de vaquero,chapeau de cowboy,Cowboy-Hut,ग्वाले की टोपी
1518,cradle,cuna,berceau,Wiege,पालना
1519,crane,grua,grue,Kran,क्रेन
1520,crash helmet,casco protector,casque de protection,Sturzhelm,हेलमेट टुटी
1521,crate,caja,Caisse,Kiste,टोकरा
1522,crib,cuna,lit de bébé,Krippe,पालना
1523,Crock Pot,Olla de barro,Crock Pot,Schmortopf,धीमा कुकर
1524,croquet ball,bola de croquet,balle croquet,Krocket Ball,क्रॉकेट गेंद
1525,crutch,muleta,béquille,Krücke,बैसाखी
1526,cuirass,coraza,cuirasse,Kürass,कवच
1527,dam,presa,endiguer,Damm,बांध
1528,desk,escritorio,bureau,Schreibtisch,डेस्क
